Target,Backend_Start,STK_Start,Start_Diff_Sec,Backend_End,STK_End,End_Diff_Sec,Backend_Duration,STK_Duration,Duration_Diff_Sec,Backend_Max_Elev,Match_Status
T15,2025-10-15 08:29:19.033,2025-10-15 08:29:09.607,9.43,2025-10-15 08:31:49.033,2025-10-15 08:31:53.288,4.25,150.0,163.7,13.68,66.36,MATCHED
T33,2025-10-15 08:31:40.192,2025-10-15 08:31:30.867,9.33,2025-10-15 08:33:30.192,2025-10-15 08:33:36.125,5.93,110.0,125.3,15.26,53.40,MATCHED
T1,2025-10-15 08:31:42.278,2025-10-15 08:31:32.855,9.42,2025-10-15 08:33:02.278,2025-10-15 08:33:08.916,6.64,80.0,96.1,16.06,49.30,MATCHED
T11,2025-10-15 08:32:22.515,2025-10-15 08:32:22.876,0.36,2025-10-15 08:35:02.515,2025-10-15 08:35:08.333,5.82,160.0,165.5,5.46,66.80,MATCHED
T3,2025-10-15 08:32:58.993,2025-10-15 08:32:49.636,9.36,2025-10-15 08:35:48.993,2025-10-15 08:35:49.668,0.67,170.0,180.0,10.03,85.28,MATCHED
T34,2025-10-15 09:24:00.585,2025-10-15 09:24:01.114,0.53,2025-10-15 09:27:00.585,2025-10-15 09:27:03.909,3.32,180.0,182.8,2.79,79.43,MATCHED
T14,2025-10-15 09:32:52.161,2025-10-15 09:32:52.675,0.51,2025-10-15 09:35:12.161,2025-10-15 09:35:15.211,3.05,140.0,142.5,2.54,57.38,MATCHED
T15,2025-10-15 10:04:35.924,2025-10-15 10:04:26.163,9.76,2025-10-15 10:07:25.924,2025-10-15 10:07:25.873,0.05,170.0,179.7,9.71,83.47,MATCHED
T33,2025-10-15 10:07:15.834,2025-10-15 10:07:06.377,9.46,2025-10-15 10:09:45.834,2025-10-15 10:09:52.333,6.50,150.0,166.0,15.96,66.99,MATCHED
T1,2025-10-15 10:07:17.505,2025-10-15 10:07:07.998,9.51,2025-10-15 10:09:27.505,2025-10-15 10:09:36.837,9.33,130.0,148.8,18.84,59.21,MATCHED
T11,2025-10-15 10:08:04.485,2025-10-15 10:07:55.125,9.36,2025-10-15 10:10:44.485,2025-10-15 10:10:52.142,7.66,160.0,177.0,17.02,78.27,MATCHED
T3,2025-10-15 10:08:52.095,2025-10-15 10:08:43.094,9.00,2025-10-15 10:10:32.095,2025-10-15 10:10:31.799,0.30,100.0,108.7,8.70,51.02,MATCHED
T30,2025-10-15 10:09:05.393,2025-10-15 10:09:05.929,0.54,2025-10-15 10:11:05.393,2025-10-15 10:11:11.455,6.06,120.0,125.5,5.53,53.47,MATCHED
T38,2025-10-15 10:15:45.343,2025-10-15 10:15:53.982,8.64,2025-10-15 10:15:55.343,2025-10-15 10:15:54.210,1.13,10.0,0.2,9.77,45.13,MATCHED
T19,2025-10-15 10:30:25.546,2025-10-15 10:30:15.374,10.17,2025-10-15 10:32:25.546,2025-10-15 10:32:33.873,8.33,120.0,138.5,18.50,57.36,MATCHED
T26,2025-10-15 10:50:40.653,2025-10-15 10:50:30.919,9.73,2025-10-15 10:53:00.653,2025-10-15 10:53:02.817,2.16,140.0,151.9,11.90,59.39,MATCHED
T50,2025-10-15 11:00:35.839,2025-10-15 11:00:36.341,0.50,2025-10-15 11:03:05.839,2025-10-15 11:03:08.034,2.19,150.0,151.7,1.69,58.94,MATCHED
T27,2025-10-15 11:03:59.456,2025-10-15 11:04:00.147,0.69,2025-10-15 11:06:39.456,2025-10-15 11:06:45.562,6.11,160.0,165.4,5.41,65.16,MATCHED
T15,2025-10-15 11:40:25.239,2025-10-15 11:40:15.444,9.80,2025-10-15 11:42:55.239,2025-10-15 11:42:57.630,2.39,150.0,162.2,12.19,64.93,MATCHED
T33,2025-10-15 11:42:58.069,2025-10-15 11:42:54.260,3.81,2025-10-15 11:45:38.069,2025-10-15 11:45:37.928,0.14,160.0,163.7,3.67,75.35,MATCHED
T1,2025-10-15 11:43:03.830,2025-10-15 11:42:54.260,9.57,2025-10-15 11:45:33.830,2025-10-15 11:45:37.928,4.10,150.0,163.7,13.67,65.67,MATCHED
T11,2025-10-15 11:43:28.244,2025-10-15 11:43:28.631,0.39,2025-10-15 11:45:58.244,2025-10-15 11:45:59.853,1.61,150.0,151.2,1.22,60.61,MATCHED
T30,2025-10-15 11:44:37.742,2025-10-15 11:44:28.301,9.44,2025-10-15 11:47:27.742,2025-10-15 11:47:28.285,0.54,170.0,180.0,9.98,83.57,MATCHED
T48,2025-10-15 11:44:56.243,2025-10-15 11:44:56.515,0.27,2025-10-15 11:47:06.243,2025-10-15 11:47:14.870,8.63,130.0,138.4,8.35,56.29,MATCHED
T5,2025-10-15 11:45:09.922,2025-10-15 11:45:10.543,0.62,2025-10-15 11:46:39.922,2025-10-15 11:46:42.988,3.07,90.0,92.4,2.44,48.92,MATCHED
T10,2025-10-15 11:50:56.281,2025-10-15 11:50:47.053,9.23,2025-10-15 11:53:36.281,2025-10-15 11:53:40.470,4.19,160.0,173.4,13.42,74.40,MATCHED
T47,2025-10-15 12:22:05.096,2025-10-15 12:22:04.382,0.71,2025-10-15 12:24:45.096,2025-10-15 12:24:48.388,3.29,160.0,164.0,4.01,64.42,MATCHED
T25,2025-10-15 12:22:31.479,2025-10-15 12:22:30.934,0.55,2025-10-15 12:25:31.479,2025-10-15 12:25:33.424,1.94,180.0,182.5,2.49,82.00,MATCHED
T26,2025-10-15 12:26:05.956,2025-10-15 12:26:05.737,0.22,2025-10-15 12:27:45.956,2025-10-15 12:27:53.664,7.71,100.0,107.9,7.93,57.84,MATCHED
T7,2025-10-15 12:27:18.341,2025-10-15 12:27:09.336,9.01,2025-10-15 12:27:48.341,2025-10-15 12:27:53.664,5.32,30.0,44.3,14.33,47.72,MATCHED
