"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
80,15 Oct 2025 06:19:25.046,15 Oct 2025 06:19:51.240,26.194
81,15 Oct 2025 06:31:42.755,15 Oct 2025 06:34:29.737,166.982
82,15 Oct 2025 06:34:59.193,15 Oct 2025 06:37:25.593,146.400
83,15 Oct 2025 06:53:51.439,15 Oct 2025 06:56:34.107,162.668
84,15 Oct 2025 06:57:48.569,15 Oct 2025 06:59:14.625,86.055
85,15 Oct 2025 07:07:37.879,15 Oct 2025 07:09:36.724,118.845
86,15 Oct 2025 07:26:39.040,15 Oct 2025 07:29:30.954,171.914
87,15 Oct 2025 07:33:43.899,15 Oct 2025 07:36:00.207,136.308
88,15 Oct 2025 07:55:57.532,15 Oct 2025 07:58:24.965,147.433
89,15 Oct 2025 08:29:09.607,15 Oct 2025 08:31:53.288,163.681
90,15 Oct 2025 08:31:30.867,15 Oct 2025 08:33:36.125,125.258
91,15 Oct 2025 08:31:32.855,15 Oct 2025 08:33:08.916,96.061
92,15 Oct 2025 08:32:22.876,15 Oct 2025 08:35:08.333,165.457
93,15 Oct 2025 08:32:49.636,15 Oct 2025 08:35:49.668,180.031
94,15 Oct 2025 09:24:01.114,15 Oct 2025 09:27:03.909,182.794
95,15 Oct 2025 09:32:52.675,15 Oct 2025 09:35:15.211,142.536
96,15 Oct 2025 10:04:26.163,15 Oct 2025 10:07:25.873,179.709
97,15 Oct 2025 10:07:06.377,15 Oct 2025 10:09:52.333,165.957
98,15 Oct 2025 10:07:07.998,15 Oct 2025 10:09:36.837,148.839
99,15 Oct 2025 10:07:55.125,15 Oct 2025 10:10:52.142,177.017
100,15 Oct 2025 10:08:43.094,15 Oct 2025 10:10:31.799,108.705
101,15 Oct 2025 10:09:05.929,15 Oct 2025 10:11:11.455,125.526
102,15 Oct 2025 10:15:53.982,15 Oct 2025 10:15:54.210,0.228
103,15 Oct 2025 10:30:15.374,15 Oct 2025 10:32:33.873,138.499
104,15 Oct 2025 10:50:30.919,15 Oct 2025 10:53:02.817,151.898
105,15 Oct 2025 11:00:36.341,15 Oct 2025 11:03:08.034,151.694
106,15 Oct 2025 11:04:00.147,15 Oct 2025 11:06:45.562,165.414
107,15 Oct 2025 11:40:15.444,15 Oct 2025 11:42:57.630,162.186
108,15 Oct 2025 11:42:48.448,15 Oct 2025 11:45:44.105,175.657
109,15 Oct 2025 11:42:54.260,15 Oct 2025 11:45:37.928,163.668
110,15 Oct 2025 11:43:28.631,15 Oct 2025 11:45:59.853,151.222
111,15 Oct 2025 11:44:28.301,15 Oct 2025 11:47:28.285,179.984
112,15 Oct 2025 11:44:56.515,15 Oct 2025 11:47:14.870,138.355
113,15 Oct 2025 11:45:10.543,15 Oct 2025 11:46:42.988,92.445
114,15 Oct 2025 11:50:47.053,15 Oct 2025 11:53:40.470,173.417
115,15 Oct 2025 12:22:04.382,15 Oct 2025 12:24:48.388,164.006
116,15 Oct 2025 12:22:30.934,15 Oct 2025 12:25:33.424,182.490
117,15 Oct 2025 12:26:05.737,15 Oct 2025 12:27:53.664,107.927
118,15 Oct 2025 12:27:09.336,15 Oct 2025 12:27:53.664,44.328


